Artist,title,streams,lyrics,neg,neu,pos,compound
Aitch,Taste (Make It Shake) ,2906654,  Chorus Show em baby how you flex and make it shake All  that back and pretty face gal Im tryna get a taste Im  just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE Show em baby how you flex and make it shake All  that back and pretty face gal Im tryna get a taste Im  just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE  Verse 1 Show  em baby how you flex and make it bounce Make it drop it’s getting hot should we be waking up the house Fuck it keep it up I know you love it when youre loud But if we hear the door knocking we cant make another sound Love  my bruddahs thats for life I know my family got me Couple bitches couple haters couple bands are on me Leave me be I live my life with fucking cameras on me Do my thing Im setting pace go tell a man to stop me Couple bruddahs got a job a couple buy and sell Grew up sliding round in north Manny you can kinda tell If you see me with a girl my chick be looking fly as well Louis V creps and the belt but the bags Chanel Had a rest and then I had to step the levels up Got it in my head that Im the best so I aint stressing much I aint on the fake shit so I aint gonna beg for love Gally love me anyway Big Shelly and I wet it up  Chorus Show em baby how you flex and make it shake All that back and pretty face gal Im tryna get a taste Im just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE Show em baby how you flex and make it shake All that back and pretty face gal Im tryna get a taste Im just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE  Verse 2 Yo The aims to get the bag and then get off Aint got time to rest not settling for second to the top Going all the way you know I got to get it never flop Man step up in the dance and then were wrecking up the spot Its crazy how Im living might have lost a couple screws Blowing clouds up in the room now Im off into the moon Still got a bit of youth in me Im always in the mood When Im in the studio I dont want noone in the room Uh Bout to take another sip Im just young and living life You cant blame it on the kid Kick back with a bottle while I make another quid Im the captain in this ting and it gets wavy on my ship Yeah Man stay with the squaddy waved in the lobby Getting paid is my hobby One thick ting shouldve seen the shape of her body Got me taking videos when shes shaking it for me  Chorus Show em baby how you flex and make it shake All that back and pretty face gal Im tryna get a taste Im just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE Show em baby how you flex and make it shake All that back and pretty face gal Im tryna get a taste Im just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE  Verse 3 I slide around from time to time Youll likely find a lighty by my side Shes spicy likes to ride cause Im the guy She wifey nice and I say kinda shy Put my hoodie on baby and go and make it shake Trippin out when Im blazing I saw a bathing ape Got my girl going crazy I need to take a break All these girls jumping on me its got me taking chase Who am I to complain when money and fames what drives me insane True say I could have worse problems So I stay smiling and riding my wave Shit quick slip slide in the rave Got your chicks lipstick on the side of my face This his bitch but mine for the day So he gets dismissed when I’m in the place  Chorus Show em baby how you flex and make it shake All that back and pretty face gal Im tryna get a taste Im just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE Show em baby how you flex and make it shake All that back and pretty face gal Im tryna get a taste Im just bopping give a fuck whos in the place Gucci buckle with the snake but my hoodie looking BAPE  ,0.127,0.775,0.098,-0.9691
Post Malone,Circles ,2832649,  Intro Oh oh oh Oh  oh oh Oh  oh oh oh oh  Verse 1 We couldnt turn around til we were upside down Ill be the bad guy now but know I aint too proud I  couldnt be there even when I tried You  dont believe it we do this every time  Chorus Seasons change and our love went cold Feed  the flame cause we cant let go Run away but were running in circles Run away run away I dare you to do something Im  waiting on you again so I dont take the blame Run away but were running in circles Run away run away run away  Verse 2 Let go I got a feeling that its time to let go I said so I knew that this was doomed from the getgo You thought that it was special special But it was just the sex though the sex though And I still hear the echoes The echoes I got a feeling that its time to let it go let it go  Chorus Seasons change and our love went cold Feed the flame cause we cant let go Run away but were running in circles Run away run away I dare you to do something Im waiting on you again so I dont take the blame Run away but were running in circles Run away run away run away  Bridge Maybe you dont understand what Im going through Its only me what you got to lose Make up your mind tell me what are you gonna do Its only me let it go  Chorus Seasons change and our love went cold Feed the flame cause we cant let go Run away but were running in circles Run away run away I dare you to do something Im waiting on you again so I dont take the blame Run away but were running in circles Run away run away run away  ,0.044,0.851,0.105,0.9686
AJ Tracey,Ladbroke Grove ,2451935,  Intro Jorja Smith No one sees No one One No one sees No one sees No one sees No one One No one sees No one Conducta  PreChorus Jorja Smith No one knows the pain No one sees what I see in you No one feels the same No one sees myself like you do  Chorus AJ Tracey Yo its the hyperman set AJ Tracey live and direct DJ mash up the mash up the deck The microphone champ is live and direct And again it’s the hyperman set Yeah AJ Tracey live and direct Who DJ mash up the mash up the deck The microphone champ is live and direct I said bubble vibes and that Vibes Cruise like a fourwheel drive and that Tek time everytings live and that Because AJ Ts on the mic and that I said bubble Bubble vibes and that Vibes Cruise like a fourwheel drive and that Drive Tek time everyting’s live and that Because AJ Ts on the mic and that Mic  PostChorus Jorja Smith No one knows the pain No one sees what I see in you No one feels the same No one sees myself like you do  Verse 1 Watch the sun now Had a likkle beef but its done now Its done I just need a drink and a rub down When my teams in the place its a shut down Down Ima ride on the wave til it’s sundown Wave it Peng ting lookin’ like a touchdown Gorgeous All my haters getting vexed cause I’m up now Vexed I went up then my kettle got bust down Bling blaow Watch the sun now Had a likkle beef but its done now Its done I just need a drink and a rub down When my teams in the place it’s a shutdown Down Ima ride on the wave til its sundown Wave it Peng ting looking like a touchdown Gorgeous All my haters getting vexed cause Im up now Why you mad I went up then my kettle got bust down Bling blaow  Chorus AJ Tracey Yo its the hyperman set AJ Tracey live and direct DJ mash up the mash up the deck The microphone champ is live and direct And again its the hyperman set Yeah AJ Tracey live and direct Who DJ mash up the mash up the deck The microphone champ is live and direct I said bubble vibes and that Vibes Cruise like a fourwheel drive and that Tek time everytings live and that Because AJ Ts on the mic and that I said bubble Bubble vibes and that Vibes Cruise like a fourwheel drive and that Drive Tek time everytings live and that Because AJ Ts on the mic and that Mic  PostChorus Jorja Smith No one knows the pain No one sees what I see in you No one feels the same No one sees myself like you do  Verse 2 Im a rock Im a rockstar Psych out I get the yattie love like a popstar Woo And when Im in my ends Im a block star Wait everybody run from the cop car Woowoo And I dont know about sober I dont Im just a block boy sittin in a Rover 21 I got my friends and my fam on my shoulder Facts I been cold but my money got me colder Said Im a rockstar Yeah I get the yattie love like a popstar Uh And when Im in my ends Im a block star True Wait everybody run from the cop car Woowoo And I dont know about sober I dont Im just a block boy sitting in a Rover I swear I got my friends and my fam on my shoulder On my back I been cold but my money got me colder  PostChorus Jorja Smith No one knows the pain No one sees what I see in you No one feels the same No one sees myself like you do  ,0.12,0.789,0.091,-0.857
Shawn Mendes,Señorita ,2314023,  Chorus Camila Cabello I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you keep me coming for ya  Verse 1 Shawn Mendes Land in Miami The air was hot from summer rain Sweat drippin off me Before I even knew her name lalala It felt like oohlalala yeah no Sapphire moonlight We danced for hours in the sand Tequila Sunrise Her body fit right in my hands lalala It felt like oohlalala yeah  Chorus Camila Cabello  Shawn Mendes Camila Cabello I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you know I love it when you call me señorita I wish it wasnt so damn hard to leave ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you keep me coming for ya  Verse 2 Camila Cabello with Shawn Mendes Locked in the hotel Theres just some things that never change You say were just friends But friends dont know the way you taste lalala La la la Cause you know its been a long time coming Dont ya let me fall oh Ooh when your lips undress me hooked on your tongue Ooh love your kiss is deadly dont stop  Chorus Both Camila Cabello  Shawn Mendes I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you know I love it when you call me señorita I wish it wasnt so damn hard to leave ya So damn hard to leave ya But every touch is oohlalala Its true lalala True lala Ooh I should be runnin Ooh you keep me coming for ya  Outro Both Shawn Mendes  Camila Cabello All along Ive been coming for ya For you And I hope it meant something to you Oh Call my name Ill be coming for ya Coming for you Coming for ya Coming for you For ya For ya Oh she loves it when I call For ya Ooh I should be runnin Ooh you keep me coming for ya  ,0.023,0.756,0.221,0.9979
Young T & Bugsey,Strike a Pose (feat. Aitch) ,2288429,  Intro Toddla T producy  Hook Bugsey Strike me a pose girl youre kinda cute yah know Here all alone girl you gotta loosen up Cause your body wanna move yah know Uptight just loosen up MacDaddy with the juice yah know Sippin on a DuckDuckGoose yah know Strike me a pose girl youre kinda cute yah know Here all alone girl you gotta loosen up Cause your body wanna move yah know Uptight just loosen up MacDaddy with the juice yah know Sippin on a DuckDuckGoose yah know  Verse 1 Bugsey and Young T Ayy ayy Look into my eyes tell me what do you see I see wrist bustdown nigga twenty on each Thats a big back baby come and fling it on me Rosé by the case when I Bon Appétit Watch your girl cah she digging the drip If she with me then she aint a regular bitch Rock my world she a freak Little Mix We got a freezer in the Range shorty come take a sip Gucci on her hip with the Fashionova thick Can you do a trick Can you do it on a dick Thats a big fat couple racks spend it on a coat Hit me on a low I got money that Im tryna blow Money that Im tryna throw six figures on a dealy Feel like Biggaveli now I got a lil Kimmy Yo feel like Makaveli when I pull up in the city Buss a dance for me I aint talkin bout The Shiggy  Hook Bugsey Strike me a pose girl youre kinda cute yah know Here all alone girl you gotta loosen up Cause your body wanna move yah know Uptight just loosen up MacDaddy with the juice yah know Sippin on a DuckDuckGoose yah know Strike me a pose girl youre kinda cute yah know Here all alone girl you gotta loosen up Cause your body wanna move yah know Uptight just loosen up MacDaddy with the juice yanna Sippin on a DuckDuckGoose yah know  Verse 2 Aitch Young Aitch fly boy a MacDaddy with the juice Strike a pose babygirl you lookin sassy for the shoot Came from Nottingham to Manny with a baddie in the coupe Im 19 shes 32 to her Im actually a yute hehehe Heh wrap another zoot Tell her turn around show me what the back of it can do Loosen up shake it off back it up a few Them other girls are too jealous they aint flashier than you no way Bend it over push it on me then rotate your hips woo When we fucked she let me take a pic One chance are you leaving or are you taking it I got some white chocolate I promise youll like the taste of it Blitzed a couple bottles now Im zoned out Mandem moving mad more time theyre getting thrown out Hold that position quick let me get my phone out Babe just do me a favour and  Hook Bugsey Strike me a pose girl youre kinda cute yah know Here all alone girl you gotta loosen up Cause your body wanna move yah know Uptight just loosen up MacDaddy with the juice yah know Sippin on a DuckDuckGoose yah know Strike me a pose girl youre kinda cute yah know Here all alone girl you gotta loosen up Cause your body wanna move yah know Uptight just loosen up MacDaddy with the juice yah know Sippin on a DuckDuckGoose yah know  Outro Toddla T producky  ,0.108,0.835,0.056,-0.9688
Dominic Fike,3 Nights ,2260925,  Chorus Three nights at the motel under streetlights in the City of Palms Call me what you want when you want if you want And you can call me names if you call me up Three nights at the motel under streetlights in the City of Palms Call me what you want when you want if you want And you can call me names if you call me up  Verse 1 Feel like the least of all your problems You can reach me if you wanna stay up tonight stay up at night Green lights in your body language Seems like you could use a little company from me But if you got everything figured out like you say Dont waste a minute dont wait a minute Its only a matter of time for youoohoohooh tooohoohooh Tell me now cause Ive been up for Ive been up for  Chorus Three nights at the motel under streetlights in the City of Palms Call me what you want when you want if you want Want And you can call me names if you call me up Call me up Three nights at the motel under streetlights in the City of Palms Call me what you want when you want if you want And you can call me names if you call me up Ooh  Verse 2 I cant fix each and all your problems Im no good with names and faces She sent me naked pictures from her neck down to the waist I get my feelings involved she stopped returnin my calls Her flaws turned into walls and barricades And Im too far gone in all the wrong ways And now every long day is a bad one I cant make you call or make you stay or take you off the pedestal So I get lost in modern music watchin movies Talkin to the walls in my room Walkin through the halls in my head Just tryna make sure it all makes sense I aint made of money Maybe some day you can take it from me Im up too late thinkin bout you in MIA for  Chorus Three nights at the motel under streetlights in the City of Palms Call me what you want when you want if you want Want And you can call me names if you call me up Call me up Three nights at the motel under streetlights in the City of Palms Call me what you want when you want if you want And you can call me names if you call me up Ooh  ,0.042,0.867,0.091,0.6064
Post Malone,Goodbyes (Feat. Young Thug) ,2224522,,none,none,none,none
Joel Corry,Sorry ,2184323,  Verse 1 I cant live without you I know I did you wrong I know I did you wrong And its my fault Im sorry I can see my whole world changing cause of you Its upside down Im lonely Should have known better should have know youre my best friend Come back here give me one more try  Hook I can see my whole world changing Theres no need to live if I cant be with you What I did was wrong Im sorry I didnt know how much I really miss you I can see my whole world changing Theres no need to live if I cant be with you What I did was wrong Im sorry I didnt know how much I really miss you  Verse 2 Last night I made a big mistake Now Im sitting in my room like brandy Taking time to contemplate Ive been such a fool lately I cant live without you I know I did you wrong I know I did you wrong And its my fault Im sorry I can see my whole world changing cause of you Its upside down Im lonely Should have known better should have know youre my best friend Come back here give me one more try  Hook I can see my whole world changing Theres no need to live if I cant be with you What I did was wrong Im sorry I didnt know how much I really miss you I can see my whole world changing Theres no need to live if I cant be with you What I did was wrong Im sorry I didnt know how much I really miss you  Verse 3 Lately we just fuss and fight We argue bout everything That drove me to leave that night And tell you that its the end  Hook I can see my whole world changing Theres no need to live if I cant be with you What I did was wrong Im sorry I didnt know how much I really miss you I can see my whole world changing Theres no need to live if I cant be with you  ,0.215,0.724,0.061,-0.9915
Post Malone,Hollywood's Bleeding ,2178202,  Intro Hollywoods bleeding vampires feedin Darkness turns to dust Everyones gone but no ones leavin Nobody left but us Tryna chase a feelin but well never feel it Ridin on the last train home Dyin in our sleep were livin out a dream We only make it out alone  Chorus I just keep on hopin that you call me You say you wanna see me but you cant right now You never took the time to get to know me Was scared of losin somethin that we never found Were running out of reasons but we cant let go Yeah Hollywood is bleeding but we call it home  Verse Outside the winter sky turnin grey City up in smoke its only ash when it rains Howl at the moon and go to sleep in the day Love for everybody til the drugs fade away In the mornin blocking out the sun with the shades She gotta check her pulse and tell herself that she okay It seem like dying young is an honor But whod be at my funeral I wonder I go out and all they eyes on me I show out do you like what you see And now they closin in on me Let em sharpen all they teeth This is more than I can handle Blood in my Lambo Wish I could go oh Im losin hoope I light a candle some Palo Santo For all these demons wish I could just go on  Chorus I just keep on hopin that you call me You say you wanna see me but you cant right now You never took the time to get to know me Was scared of losin somethin that we never found Were running out of reasons but we cant let go Yeah Hollywood is bleeding but we call it home  ,0.078,0.832,0.091,0.7503
Lil Tecca,Ransom ,2075352,  Intro Turn you to a dancer Yeah Internet Money bitch  Chorus I got black I got white what you want Hop outside a Ghost and hop up in a Phantom I know Im ’bout to blow I aint dumb They try to take my flow I take they ass for ransom I know that Im gone They see me blowin’ up now they say they want some I got two twin Glocks turn you to a dancer I see two twin opps leave em on a banner And I got two thick thots wanna link the gang yeah  Verse I got red I got blue what you want The Chanel or Balenciaga Louis and Vuitton She know I got the Fendi Prada when I hit Milan I needed me a die or rider I need me the one I started from the bottom you could see the way I stunt I want all the diamonds I want that shit to weigh a ton The opps they tryna line me cause they hate the place Im from But them niggas dont know me they just know the place Im from I got lots of shawties tryna pull up to my place But you aint want me last year so just get up out my face They all up in my inbox so I know they want a taste I know they want my downfall lil nigga are you laced  Chorus I got black I got white what you want Hop outside a Ghost and hop up in a Phantom I know I’m ’bout to blow I aint dumb They try to take my flow I take they ass for ransom I know that I’m gone They see me blowin up now they say they want  some I got two twin Glocks turn you to a dancer I see two twin opps leave em on a banner And I got two thick thots wanna link the gang yeah I got black I got white what you want Hop outside a Ghost and hop up in a Phantom I know Im ’bout to blow I aint dumb They try to take my flow I take they ass for ransom I know that Im gone They see me blowin up now they say they want  some I got two twin Glocks turn you to a dancer I see two twin opps leave em on a banner And I got two thick thots wanna link the gang yeah  ,0.099,0.818,0.082,-0.9506
