Artist,title,streams,lyrics,neg,neu,pos,compound
Post Malone,Goodbyes (Feat. Young Thug) ,14539019,,none,none,none,none
Shawn Mendes,Señorita ,12280709,  Chorus Camila Cabello I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you keep me coming for ya  Verse 1 Shawn Mendes Land in Miami The air was hot from summer rain Sweat drippin off me Before I even knew her name lalala It felt like oohlalala yeah no Sapphire moonlight We danced for hours in the sand Tequila Sunrise Her body fit right in my hands lalala It felt like oohlalala yeah  Chorus Camila Cabello  Shawn Mendes Camila Cabello I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you know I love it when you call me señorita I wish it wasnt so damn hard to leave ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you keep me coming for ya  Verse 2 Camila Cabello with Shawn Mendes Locked in the hotel Theres just some things that never change You say were just friends But friends dont know the way you taste lalala La la la Cause you know its been a long time coming Dont ya let me fall oh Ooh when your lips undress me hooked on your tongue Ooh love your kiss is deadly dont stop  Chorus Both Camila Cabello  Shawn Mendes I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you know I love it when you call me señorita I wish it wasnt so damn hard to leave ya So damn hard to leave ya But every touch is oohlalala Its true lalala True lala Ooh I should be runnin Ooh you keep me coming for ya  Outro Both Shawn Mendes  Camila Cabello All along Ive been coming for ya For you And I hope it meant something to you Oh Call my name Ill be coming for ya Coming for you Coming for ya Coming for you For ya For ya Oh she loves it when I call For ya Ooh I should be runnin Ooh you keep me coming for ya  ,0.023,0.756,0.221,0.9979
Lil Nas X,Panini ,9872012,  Intro Nessly DDDaytrip took it to ten Hey  Verse 1 Ayy Panini dont you be a meanie Thought you wanted me to go up Why you tryna keep me teeny I Its a dream he wished it on a genie I got fans finally aint you wanting them to see me I  Refrain I thought you want this for my life for my life Said you wanted to see me thrive you lied  Chorus Just say to me what you want from me Just say to me what you want from me  Verse 2 Ayy Panini dont you be a meanie Thought you wanted me to go up Why you tryna keep me teeny now Now they need me number one on streaming Oh yeah you used to love me So what happened whats the meaning I  Refrain I thought you want this for my life for my life Said you wanted to see me thrive you lied  Verse 3 Now when its all done I get the upper hand I need a big Benz not another fan But I still want you as a fan Ima need to sit down dont mean to make demands But I need you to  Chorus Say to me what you want from me Just say to me what you want from me  Outro Nessly DDDaytrip took it to ten Hey  ,0.04,0.859,0.101,0.8332
Drake,Money In The Grave (Drake ft. Rick Ross) ,9522200,,none,none,none,none
Lizzo,Truth Hurts ,8771661,  Intro Why men great til they gotta be great Woo  Verse 1 I just took a DNA test turns out Im 100 that bitch Even when Im crying crazy Yeah I got boy problems thats the human in me Bling bling then I solve em thats the goddess in me You coulda had a bad bitch noncommittal Help you with your career just a little Youre posed to hold me down but youre holding me back And thats the sound of me not calling you back  Chorus Why men great til they gotta be great Til they gotta be great Dont text me tell it straight to my face Tell it straight to my face Best friend sat me down in the salon chair Down in the salon chair Shampoo press get you out of my hair Fresh photos with the bomb lighting With the bomb lighting New man on the Minnesota Vikings Minnesota Vikings Truth hurts needed something more exciting Yee Bom bom bi dom bi dum bum bay Eh yeah yeah yeah  Verse 2 You tried to break my heart Oh that breaks my heart That you thought you ever had it No you aint from the start Hey Im glad youre back with your bitch I mean who would wanna hide this I will never ever ever ever ever be your side chick I put the sing in single Aint worried bout a ring on my finger So you can tell your friend Shoot your shot when you see him Its okay he already in my DMs  Chorus Why men great til they gotta be great Til they gotta be great Dont text me tell it straight to my face Tell it straight to my face Best friend sat me down in the salon chair Down in the salon chair Shampoo press get you out of my hair Fresh photos with the bomb lighting With the bomb lighting New man on the Minnesota Vikings Minnesota Vikings Truth hurts needed something more exciting Yee Bom bom bi dom bi dum bum bay Eh yeah yeah yeah  Bridge Ima hit you back in a minute Yeah yeah I dont play tag bitch I been it One time We dont fuck with lies Two times we dont do goodbyes Woo We just keep it pushing like ayayay Ima hit you back in a minute Yeah yeah I dont play tag bitch I been it One time We dont fuck with lies Two times we dont do goodbyes Woo We just keep it pushing like ayayay Woo  Chorus Why men great til they gotta be great Til they gotta be great Dont text me tell it straight to my face Tell it straight to my face Best friend sat me down in the salon chair Down in the salon chair Shampoo press get you out of my hair Fresh photos with the bomb lighting With the bomb lighting New man on the Minnesota Vikings Minnesota Vikings Truth hurts needed something more exciting Yee Bom bom bi dom bi dum bum bay Eh yeah yeah yeah  Outro With the bomb lighting Minnesota Vikings Yee eh yeah yeah yeah  ,0.073,0.615,0.312,0.9995
Billie Eilish,bad guy ,8366135,  Verse 1 White shirt now red my bloody nose Sleepin youre on your tippy toes Creepin around like no one knows Think youre so criminal Bruises on both my knees for you Dont say thank you or please I do what I want when Im wanting to My soul So cynical  Chorus So youre a tough guy Like it really rough guy Just cant get enough guy Chest always so puffed guy Im that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type Im the bad guy Duh  PostChorus Im the bad guy  Verse 2 I like it when you take control Even if you know that you dont Own me Ill let you play the role Ill be your animal My mommy likes to sing along with me But she wont sing this song If she reads all the lyrics Shell pity the men I know  Chorus So youre a tough guy Like it really rough guy Just cant get enough guy Chest always so puffed guy Im that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type Im the bad guy Duh  PostChorus Im the bad guy duh Im only good at bein bad bad  Bridge I like when you get mad I guess Im pretty glad that youre alone You said shes scared of me I mean I dont see what she sees But maybe its cause Im wearing your cologne  Outro Im a bad guy Im Im a bad guy Bad guy bad guy Im a bad  ,0.262,0.646,0.092,-0.9954
Lil Tecca,Ransom ,7914144,  Intro Turn you to a dancer Yeah Internet Money bitch  Chorus I got black I got white what you want Hop outside a Ghost and hop up in a Phantom I know Im ’bout to blow I aint dumb They try to take my flow I take they ass for ransom I know that Im gone They see me blowin’ up now they say they want some I got two twin Glocks turn you to a dancer I see two twin opps leave em on a banner And I got two thick thots wanna link the gang yeah  Verse I got red I got blue what you want The Chanel or Balenciaga Louis and Vuitton She know I got the Fendi Prada when I hit Milan I needed me a die or rider I need me the one I started from the bottom you could see the way I stunt I want all the diamonds I want that shit to weigh a ton The opps they tryna line me cause they hate the place Im from But them niggas dont know me they just know the place Im from I got lots of shawties tryna pull up to my place But you aint want me last year so just get up out my face They all up in my inbox so I know they want a taste I know they want my downfall lil nigga are you laced  Chorus I got black I got white what you want Hop outside a Ghost and hop up in a Phantom I know I’m ’bout to blow I aint dumb They try to take my flow I take they ass for ransom I know that I’m gone They see me blowin up now they say they want  some I got two twin Glocks turn you to a dancer I see two twin opps leave em on a banner And I got two thick thots wanna link the gang yeah I got black I got white what you want Hop outside a Ghost and hop up in a Phantom I know Im ’bout to blow I aint dumb They try to take my flow I take they ass for ransom I know that Im gone They see me blowin up now they say they want  some I got two twin Glocks turn you to a dancer I see two twin opps leave em on a banner And I got two thick thots wanna link the gang yeah  ,0.099,0.818,0.082,-0.9506
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse ,7211288,,none,none,none,none
Ed Sheeran,Beautiful People (feat. Khalid) ,7014919,  Intro Ed Sheeran We are we are we are  Verse 1 Ed Sheeran LA on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The partys on so theyre headin downtown Round here Everybodys lookin for a come up And they wanna know what youre about Me in the middle with the one I love and Were just tryna figure everything out  PreChorus Ed Sheeran We dont fit in well cause we are just ourselves I could use some help gettin out of this conversation yeah You look stunning dear so dont ask that question here This is my only fear that we become  Chorus Ed Sheeran Beautiful people Drop top designer clothes Front row at fashion shows What dyou do and Who dyou know Inside the world of beautiful people Champagne and rolledup notes Prenups and broken homes Surrounded but still alone Lets leave the party  PostChorus Ed Sheeran Thats not who we are We are we are we are We are not beautiful Yeah thats not who we are We are we are we are We are not beautiful Beautiful  Verse 2 Khalid LA mmm Drove for hours last night and we made it nowhere Nowhere nowhere I see stars in your eyes when were halfway there All night Im not fazed by all them lights and flashin cameras Cause with my arms around you theres no need to care  PreChorus Khalid We dont fit in well we are just ourselves I could use some help gettin out of this conversation yeah You look stunning dear so dont ask that question here This is my only fear that we become  Chorus Ed Sheeran Beautiful people Drop top designer clothes Front row at fashion shows What dyou do and Who dyou know Inside the world of beautiful people Champagne and rolledup notes Prenups and broken homes Surrounded but still alone Lets leave the party  PostChorus Ed Sheeran Both Khalid Thats not who we are We are we are we are We are not beautiful yeah Yeah thats not who we are We are we are we are We are not beautiful Beautiful  Outro Ed Sheeran We are we are we are We are not beautiful  ,0.086,0.723,0.191,0.9949
Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix ,6625744,  Intro Billy Ray Cyrus Oh ohoh Oh  Refrain Billy Ray Cyrus Yeah Im gonna take my horse to the old town road Im gonna ride til I cant no more Im gonna take my horse to the old town road Im gonna ride til I cant no more Kio Kio  Verse 1 Lil Nas X I got the horses in the back Horse tack is attached Hat is matte black Got the boots thats black to match Ridin on a horse ha You can whip your Porsche I been in the valley You aint been up off that porch now  Chorus Lil Nas X Cant nobody tell me nothin You cant tell me nothin Cant nobody tell me nothin You cant tell me nothin  Verse 2 Lil Nas X Ridin on a tractor Lean all in my bladder Cheated on my baby You can go and ask her My life is a movie Bull ridin and boobies Cowboy hat from Gucci Wrangler on my booty  Chorus Lil Nas X Cant nobody tell me nothin You cant tell me nothin Cant nobody tell me nothin You cant tell me nothin  Refrain Lil Nas X Yeah Im gonna take my horse to the old town road Im gonna ride til I cant no more Im gonna take my horse to the old town road Im gonna ride til I cant no more  Verse 3 Billy Ray Cyrus Hat down cross town livin like a rockstar Spent a lot of money on my brand new guitar Babys got a habit diamond rings and Fendi sports bras Ridin down Rodeo in my Maserati sports car Got no stress Ive been through all that Im like a Marlboro Man so I kick on back Wish I could roll on back to that old town road I wanna ride til I cant no more  Outro Lil Nas X  Billy Ray Cyrus Yeah Im gonna take my horse to the old town road Im gonna ride til I cant no more Im gonna take my horse to the old town road Im gonna ride til I cant no more  ,0.017,0.886,0.097,0.9643
DaBaby,Suge ,6085342,  Intro Pooh you a fool for this one Ha Oh Lord Jetson made another one  Chorus Hah Pack in the mail its gone Uh She like how I smell cologne Yeah I just signed a deal Im on Yeah yeah I go where I want Im good Good Play if you want lets do it Ha Im a young CEO Suge Yeah Yeah yeah  Verse 1 The first nigga play Ima body a nigga Ha I just checked my balance Ill probably pull up to your hood And come buy me a nigga No cap You know that your ho told you that nigga crazy Dont think that she lied to you nigga Bitch Get caught with your ho when Im poppin em both Now they high just like Bobby and Whitney Haa Say Im the goat act like I dont know But fuck it Im obviously winnin Dont make me go hit the bank and take out a hundred To show you our pockets are different Ha Im out with your bitch and I only want knowledge She got a lil mileage Im chillin Uh You disrespect me and Ill beat your ass up All in front of your partners and children Ahh ahh Im the type to let a nigga think that Im broke Until I pop out with a million I pop Take 20K and put that on your head And make one of your partners come kill you Yeah Say he fuckin with me then he gotta grow up Cause this nigga gotta be kiddin Kiddin This shit it cant fit in my pocket I got it like I hit the lottery nigga Hot hot hot Opp Ill slap the shit out a nigga No talkin I dont like to argue with niggas I dont Aint gon be no more laughin You see me whip out cause Im gon be done shot me a nigga No cap I dont follow no bitches on IG But all of your bitches they follow a nigga Ha And that lil nigga aint gon shoot shit with that gun He just pull it out in his pictures Bitch uh  Chorus Hah Pack in the mail its gone Uh She like how I smell cologne Yeah I just signed a deal Im on Yeah yeah I go where I want Im good Good Play if you want lets do it Ha Im a young CEO Suge Yeah Yeah yeah Hah Pack in the mail its gone Uh She like how I smell cologne Yeah I just signed a deal Im on Yeah yeah I go where I want Im good Good Play if you want lets do it Ha Im a young CEO Suge Yeah Yeah yeah  Verse 2 Talkin my shit Ima pop that Pop Got like thirtytwo thousand in one of my pockets The other one thats where the Glock at Glock You little niggas wanna be internet gangster Man tell all these little niggas stop that Ha Been done burnt me a nigga in front of the store Where your mammy and grandmama shop at Bitch Hopped out on a whole other wave from these niggas Lets see one of you little niggas top that I will turn a nigga into a convertible Push me a lil nigga top back Vroom Her boyfriend be hatin and callin her groupie Just cause she like all my music Ha Shell send me a text and then delete the message He tryna find out its confusin I dont know what these niggas is thinkin about Use the brain in your head fore you lose it Bitch Ill pull up after school and Ill teach her some shit Tell your bro Im a motherfuckin tutor Member I used to cheat off a pretty bitch test All the teachers they thought I was stupid Uh huh Was expectin the box to pull up on a truck Man this nigga pulled up on a scooter The fuck  Chorus Hah Pack in the mail its gone Uh She like how I smell cologne Yeah I just signed a deal Im on Yeah yeah I go where I want Im good Good Play if you want lets do it Ha Im a young CEO Suge Yeah Yeah yeah Hah Pack in the mail its gone Uh She like how I smell cologne Yeah I just signed a deal Im on Yeah yeah I go where I want Im good Good Play if you want lets do it Ha Im a young CEO Suge Yeah Yeah yeah  ,0.096,0.732,0.172,0.9877
Ed Sheeran,I Don't Care (with Justin Bieber) ,5854079,  Verse 1 Ed Sheeran Im at a party I dont wanna be at And I dont ever wear a suit and tie yeah Wonderin if I could sneak out the back Nobodys even lookin me in my eyes Then you take my hand Finish my drink say Shall we dance Hell yeah You know I love ya did I ever tell ya You make it better like that  PreChorus Ed Sheeran Dont think I fit in at this party Everyones got so much to say Yeah I always feel like Im nobody mmm Who wants to fit in anyway  Chorus Ed Sheeran Cause I dont care when Im with my baby yeah All the bad things disappear And youre making me feel like maybe I am somebody I can deal with the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh Cause I dont care as long as you just hold me near You can take me anywhere And youre making me feel like Im loved by somebody I can deal with the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh  Verse 2 Justin Bieber We at a party we dont wanna be at Tryna talk but we cant hear ourselves Read your lips Id rather kiss em right back With all these people all around Im crippled with anxiety But Im told its where Im sposed to be You know what Its kinda crazy cause I really dont mind When you make it better like that  PreChorus Justin Bieber Dont think we fit in at this party Everyones got so much to say oh yeah yeah When we walked in I said Im sorry mmm But now I think that we should stay  Chorus Ed Sheeran  Justin Bieber Cause I dont care when Im with my baby yeah All the bad things disappear Yeah youre making me feel like maybe I am somebody I can deal with the bad nights when Im with my baby yeah Ooh ooh ooh ooh ooh ooh Oh yeah yeah yeah Cause I dont care as long as you just hold me near You can take me anywhere And youre making me feel like Im loved by somebody I can deal with the bad nights when Im with my baby yeah Ooh ooh ooh ooh ooh ooh No  Bridge Justin Bieber  Ed Sheeran I dont like nobody but you its like youre the only one here I dont like nobody but you baby I dont care I dont like nobody but you I hate everyone here I dont like nobody but you baby yeah  Chorus Ed Sheeran  Justin Bieber Cause I dont care Dont care When Im with my baby yeah Oh yeah All the bad things disappear Disappear And youre making me feel like maybe I am somebody Maybe Im somebody I can deal with the bad nights With the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh Oh yeah yeah yeah Cause I dont care as long as you just hold me near Me near You can take me anywhere Anywhere anywhere And youre making me feel like Im loved by somebody Im loved by somebody yeah yeah yeah I can deal with the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh  ,0.125,0.677,0.198,0.9915
Young Thug,The London (feat. J. Cole & Travis Scott) ,5708738,,none,none,none,none
