trackId,Artist,title,streams,lyrics,neg,neu,pos,compound
3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,I Don't Care (with Justin Bieber) ,2066298,  verse 1 ed sheeran im at a party i dont wanna be at and i dont ever wear a suit and tie yeah wonderin if i could sneak out the back nobodys even lookin me in my eyes then you take my hand finish my drink say shall we dance hell yeah you know i love ya did i ever tell ya you make it better like that  prechorus ed sheeran dont think i fit in at this party everyones got so much to say yeah i always feel like im nobody mmm who wants to fit in anyway  chorus ed sheeran cause i dont care when im with my baby yeah all the bad things disappear and youre making me feel like maybe i am somebody i can deal with the bad nights when im with my baby yeah ooh ooh ooh ooh ooh ooh cause i dont care as long as you just hold me near you can take me anywhere and youre making me feel like im loved by somebody i can deal with the bad nights when im with my baby yeah ooh ooh ooh ooh ooh ooh  verse 2 justin bieber we at a party we dont wanna be at tryna talk but we cant hear ourselves read your lips id rather kiss em right back with all these people all around im crippled with anxiety but im told its where im sposed to be you know what its kinda crazy cause i really dont mind when you make it better like that  prechorus justin bieber dont think we fit in at this party everyones got so much to say oh yeah yeah when we walked in i said im sorry mmm but now i think that we should stay  chorus ed sheeran  justin bieber cause i dont care when im with my baby yeah all the bad things disappear yeah youre making me feel like maybe i am somebody i can deal with the bad nights when im with my baby yeah ooh ooh ooh ooh ooh ooh oh yeah yeah yeah cause i dont care as long as you just hold me near you can take me anywhere and youre making me feel like im loved by somebody i can deal with the bad nights when im with my baby yeah ooh ooh ooh ooh ooh ooh no  bridge justin bieber  ed sheeran i dont like nobody but you its like youre the only one here i dont like nobody but you baby i dont care i dont like nobody but you i hate everyone here i dont like nobody but you baby yeah  chorus ed sheeran  justin bieber cause i dont care dont care when im with my baby yeah oh yeah all the bad things disappear disappear and youre making me feel like maybe i am somebody maybe im somebody i can deal with the bad nights with the bad nights when im with my baby yeah ooh ooh ooh ooh ooh ooh oh yeah yeah yeah cause i dont care as long as you just hold me near me near you can take me anywhere anywhere anywhere and youre making me feel like im loved by somebody im loved by somebody yeah yeah yeah i can deal with the bad nights when im with my baby yeah ooh ooh ooh ooh ooh ooh  ,0.125,0.677,0.198,0.9915
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy ,1906387,  verse 1 white shirt now red my bloody nose sleepin youre on your tippy toes creepin around like no one knows think youre so criminal bruises on both my knees for you dont say thank you or please i do what i want when im wanting to my soul so cynical  chorus so youre a tough guy like it really rough guy just cant get enough guy chest always so puffed guy im that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type im the bad guy duh  postchorus im the bad guy  verse 2 i like it when you take control even if you know that you dont own me ill let you play the role ill be your animal my mommy likes to sing along with me but she wont sing this song if she reads all the lyrics shell pity the men i know  chorus so youre a tough guy like it really rough guy just cant get enough guy chest always so puffed guy im that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type im the bad guy duh  postchorus im the bad guy duh im only good at bein bad bad  bridge i like when you get mad i guess im pretty glad that youre alone you said shes scared of me i mean i dont see what she sees but maybe its cause im wearing your cologne  outro im a bad guy im im a bad guy bad guy bad guy im a bad  ,0.262,0.646,0.092,-0.9954
6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix ,1725679,  intro yeah im gonna take my horse to the old town road im gonna ride til i cant no more im gonna take my horse to the old town road im gonna ride til i cant no more kio kio  verse 1 i got the horses in the back horse tack is attached hat is matte black got the boots thats black to match ridin on a horse ha you can whip your porsche i been in the valley you aint been up off that porch now  chorus cant nobody tell me nothin you cant tell me nothin cant nobody tell me nothin you cant tell me nothin  verse 2 ridin on a tractor lean all in my bladder cheated on my baby you can go and ask her my life is a movie bull ridin and boobies cowboy hat from gucci wrangler on my booty  chorus cant nobody tell me nothin you cant tell me nothin cant nobody tell me nothin you cant tell me nothin  outro yeah im gonna take my horse to the old town road im gonna ride til i cant no more im gonna take my horse to the old town road im gonna ride til i cant no more i got the hor  ,0.016,0.915,0.069,0.7936
6LsAAHotRLMOHfCsSfYCsz,Shawn Mendes,If I Can't Have You ,1374257,  chorus i cant write one song thats not about you cant drink without thinkin about you is it too late to tell you that everything means nothing if i cant have you  verse 1 im in toronto and i got this view but i might as well be in a hotel room yeah it doesnt matter cause im so consumed spending all my nights reading texts from you  prechorus oh im good at keeping my distance i know that youre the feeling im missing you know that i hate to admit it but everything means nothing if i cant have you  chorus i cant write one song thats not about you cant drink without thinkin about you is it too late to tell you that everything means nothing if i cant have you i cant write one song thats not about you cant drink without thinkin about you is it too late to tell you that everything means nothing if i cant have you  verse 2 im so sorry that my timings off but i cant move on if were still gonna talk is it wrong for me to not want half i want all of you all the strings attached  prechorus oh im good at keeping my distance i know that youre the feeling im missing you know that i hate to admit it but everything means nothing if i cant have you  chorus i cant write one song thats not about you cant drink without thinkin about you is it too late to tell you that everything means nothing if i cant have you i cant write one song thats not about you cant drink without thinking about you is it too late to tell you that everything means nothing if i cant have you  bridge im trying to move on forget you but i hold on everything means nothing everything means nothing babe im trying to move on forget you but i hold on everything means nothing if i cant have you no  chorus i cant write one song thats not about you cant drink without thinkin about you is it too late to tell you that everything means nothing if i cant have you cant have you i cant write one song thats not about you cant drink without thinking about you is it too late to tell you that everything means nothing if i cant have you  ,0.05,0.912,0.038,-0.5658
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved ,1321378,  verse 1 im going under and this time i fear theres no one to save me this all or nothing really got a way of driving me crazy i need somebody to heal somebody to know somebody to have somebody to hold its easy to say but its never the same i guess i kinda liked the way you numbed all the pain  chorus now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved  verse 2 im going under and this time i fear theres no one to turn to this all or nothing way of loving got me sleeping without you now i need somebody to know somebody to heal somebody to have just to know how it feels its easy to say but its never the same i guess i kinda like the way you help me escape  chorus now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved  bridge and i tend to close my eyes when it hurts sometimes i fall into your arms ill be safe in your sound till i come back around  chorus for now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved but now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved  ,0.076,0.787,0.138,0.9788
543bCW2ruMPmxUBWirQ3MR,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) ,1177014,  intro pnb rock anything she needs she can call me dont worry bout her thats my seed yup thats all me just know if you cross her then you cross me cross me cross me if you if you if you if you its fred again anything she needs she can call me dont worry about her thats my seed yup thats all me just know if you cross her then you cross me cross me cross me if you if  verse 1 ed sheeran and she aint messin with no other man and me and her have something different i really need all you to understand that nobodys comin close and i dont ever wanna run around i spent my youth jumpin in and out but you know i fuckin love her now like nobody ever could  refrain ed sheeran and you know i stay trippin am i crazy oh no im stickin with my baby for sure together or solo it doesnt matter where we are oh no no so if you hear about my lady just know that she aint the one to play with oh no and ill be standin so close so you know that ayy  prechorus pnb rock anything she needs she can call me dont worry about her thats my seed yup thats all me just know if you cross her then you cross me cross me cross me if you if you if you if you  chorus ed sheeran  pnb rock if you cross her then you cross me cross me and nobodys comin close yeah and i think that you should know that if you cross her anything she needs she can call me then you cross me dont worry about her thats my seed yup thats all me so come on and let it go oh i think that you should know  verse 2 chance the rapper that she aint messin with no other man now what you not gon do is stand there cross from me like you got kungfu death stare cross arm runnin your mouth like a faucet but you dont know that my girl been doin crossfit pew kung pow hit your ass with a cross kick pulling hair out wear you out you exhausted know she gonna slide anytime you bitches talk shit keep a lil blade in her fuckin lip gloss kit ayy no one say hi to me without her better pay your respect to the queen better do that shit without a flirt gotta respect the hbic couple of things that you need to know if you still wanna be friends with me  prechorus pnb rock just know if you cross her then you cross me cross me cross me if you if you if you if you  chorus ed sheeran  pnb rock if you cross her anything she needs she can call me then you cross me dont worry about her thats my seed yup thats all me and nobodys comin close yeah and i think that you should know that if you cross her anything she needs she can call me then you cross me dont worry about her thats my seed yup thats all me so come on and let it go oh i think that you should know  refrain ed sheeran she stay trippin and she crazy oh no quit messin with my baby for sure together or solo it doesnt matter where we are oh no no so if you hear about my lady just know that she aint the one to play with oh no and ill be standin so close so you know that  chorus ed sheeran  pnb rock if you cross her anything she needs she can call me then you cross me dont worry about her thats my seed yup thats all me and nobodys comin close yeah and i think that you should know that if you cross her anything she needs she can call me then you cross me dont worry about her thats my seed yup thats all me so come on and let it go oh i think that you should know  outro ed sheeran  pnb rock if you cross her anything she needs she can call me then you cross me dont worry about her thats my seed yup thats all me just know if you cross her then you cross me cross me cross me if you if you if you if you oh yeah  ,0.044,0.853,0.104,0.9883
1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights ,1125252,  chorus three nights at the motel under streetlights in the city of palms call me what you want when you want if you want and you can call me names if you call me up three nights at the motel under streetlights in the city of palms call me what you want when you want if you want and you can call me names if you call me up  verse 1 feel like the least of all your problems you can reach me if you wanna stay up tonight stay up at night green lights in your body language seems like you could use a little company from me but if you got everything figured out like you say dont waste a minute dont wait a minute its only a matter of time for youoohoohooh tooohoohooh tell me now cause ive been up for ive been up for  chorus three nights at the motel under streetlights in the city of palms call me what you want when you want if you want want and you can call me names if you call me up call me up three nights at the motel under streetlights in the city of palms call me what you want when you want if you want and you can call me names if you call me up ooh  verse 2 i cant fix each and all your problems im no good with names and faces she sent me naked pictures from her neck down to the waist i get my feelings involved she stopped returnin my calls her flaws turned into walls and barricades and im too far gone in all the wrong ways and now every long day is a bad one i cant make you call or make you stay or take you off the pedestal so i get lost in modern music watchin movies talkin to the walls in my room walkin through the halls in my head just tryna make sure it all makes sense i aint made of money maybe some day you can take it from me im up too late thinkin bout you in mia for  chorus three nights at the motel under streetlights in the city of palms call me what you want when you want if you want want and you can call me names if you call me up call me up three nights at the motel under streetlights in the city of palms call me what you want when you want if you want and you can call me names if you call me up ooh  ,0.042,0.867,0.091,0.6064
5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",EARFQUAKE ,1106957,  intro tyler the creator  playboi carti for real for real this time for real for real for real this time bitch i cannot fall short for real for real for real this time uh yeah for real for real for real this time  chorus tyler the creator cause you make my earth quake oh you make my earth quake riding around your love be shakin’ me up and its making my heart break cause you make my earth quake oh you make my earth quake earthquake ooh riding around your love be shakin’ me up and its making my heart break  refrain tyler the creator  charlie wilson dont leave its my fault dont leave its my fault dont leave its my fault girl ’cause when it all comes crashing down i’ll need you  chorus tyler the creator  charlie wilson cause you make my earth quake oh you make my earth quake riding around you’re telling me something is bad and its making my heart break cause you make my earth quake oh you make my earth quake earth quake yeah riding around your love be shakin me up and it’s making my heart break you already know  verse 1 playboi carti we aint gotta ball d rose huh i dont give a fuck bout none huh beamin like fuck my lungs huh just might call my lawyer huh plug gon set me up huh yeah bih dont set me up okay im with tyler yuh slime he ride like the car huh and she wicked huh yuh like woah vicky huh yeah like woah vicky oh my god hold up um diamonds not tiffany huh yeah woah woah so in love so in love  refrain tyler the creator  charlie wilson dont leave its my fault fault dont leave its my fault dont leave its my fault igor ayy cause when it all comes crashing down ill need you ayy ayy  verse 2 tyler the creator  charlie wilson cause you make my earth quake i dont want no confrontation no and you dont want my conversation i dont want no conversation i just need some confirmation on how you feel for real for real you dont want no complication no i dont want no side information i dont want no side information i just need to know whats happening cause im for real for real  outro tyler the creator i said dont leave its my fault one i said dont leave its my fault two two dont leave its its my fault girl three three three dont dododododo ill need  ,0.088,0.774,0.138,0.9507
6nDKrPlXdpomGBgAlO7UdP,Avicii,SOS ,1007770,  verse 1 can you hear me sos help me put my mind to rest two times clean again im actin low a pound of weed and a bag of blow  chorus i can feel your love pullin me up from the underground and i dont need my drugs we could be more than just parttime lovers i can feel your touch pickin me up from the underground and i dont need my drugs we could be more than just parttime lovers  drop we could be more than just parttime lovers we could be more than just parttime lovers  verse 2 i get robbed of all my sleep as my thoughts begin to bleed id let go but i dont know how yeah i dont know how but i need you now  chorus i can feel your love pullin me up from the underground and i dont need my drugs we could be more than just parttime lovers i can feel your touch pickin me up from the underground and i dont need my drugs we could be more than just parttime lovers i can feel your touch pickin me up from the underground and i dont need my drugs we could be more than just parttime lovers  drop we could be we could be more than just parttime lovers parttime lovers yeah more than more than lovers we could be more than just parttime lovers  outro can you hear me sos help me put my mind to rest  ,0.014,0.793,0.193,0.9941
4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,Sucker ,969025,  verse 1 nick jonas we go together better than birds of a feather you and me we change the weather yeah im feelin heat in december when youre round me  prechorus joe jonas joe jonas  nick jonas ive been dancin on top of cars and stumblin out of bars i follow you through the dark cant get enough youre the medicine and the pain the tattoo inside my brain and baby you know its obvious  chorus nick jonas nick jonas  joe jonas im a sucker for you you say the word and ill go anywhere blindly im a sucker for you yeah any road you take you know that youll find me im a sucker for all the subliminal things no one knows about you about you about you about you and youre makin the typical me break my typical rules its true im a sucker for you yeah  verse 2 nick jonas dont complicate it yeah cause i know you and you know everything about me i cant remember yeah all of the nights i dont remember when youre round me oh yeah yeah  prechorus joe jonas joe jonas  nick jonas ive been dancin on top of cars and stumblin out of bars i follow you through the dark cant get enough youre the medicine and the pain the tattoo inside my brain and baby you know its obvious  chorus nick jonas nick jonas  joe jonas im a sucker for you you say the word and ill go anywhere blindly im a sucker for you yeah any road you take you know that youll find me im a sucker for all the subliminal things no one knows about you about you about you about you and youre makin the typical me break my typical rules its true im a sucker for you yeah uh  prechorus joe jonas joe jonas  nick jonas im a sucker for you ive been dancin on top of cars and stumblin out of bars i follow you through the dark cant get enough youre the medicine and the pain the tattoo inside my brain and baby you know its obvious  chorus nick jonas nick jonas  joe jonas im a sucker for you yeah say the word and ill go anywhere blindly im a sucker for you yeah any road you take you know that youll find me im a sucker for all the subliminal things no one knows about you about you about you about you and youre makin the typical me break my typical rules its true im a sucker for you uh im a sucker for you  ,0.135,0.793,0.072,-0.988
