trackId,Artist,title,streams,lyrics,neg,neu,pos,compound
0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You ,5500927,  intro i dont want a lot for christmas there is just one thing i need i dont care about the presents underneath the christmas tree i just want you for my own more than you could ever know make my wish come true all i want for christmas is you yeah  verse 1 i dont want a lot for christmas there is just one thing i need and i dont care about the presents underneath the christmas tree i dont need to hang my stocking there upon the fireplace ah santa claus wont make me happy with a toy on christmas day  chorus i just want you for my own ooh more than you could ever know ooh make my wish come true all i want for christmas is you you baby  verse 2 oh i wont ask for much this christmas i wont even wish for snow and i im just gonna keep on waiting underneath the mistletoe i wont make a list and send it to the north pole for saint nick ah i wont even stay awake to hear those magic reindeer click  chorus cause i just want you here tonight ooh holding on to me so tight ooh what more can i do oh baby all i want for christmas is you you baby  bridge oh all the lights are shining so brightly everywhere so brightly baby and the sound of childrens laughter fills the air oh oh yeah and everyone is singing oh yeah i hear those sleigh bells ringing oh santa wont you bring me the one i really need yeah oh oh wont you please bring my baby to me  verse 3 oh i dont want a lot for christmas this is all im asking for ah i just wanna see my baby standing right outside my door  chorus oh i just want you for my own ooh more than you could ever know ooh make my wish come true oh baby all i want for christmas is you  outro you baby all i want for christmas is you baby you all i want for christmas is you baby ah oh ah oh all i want for christmas is you baby you all i want for christmas is you baby all i really want baby ooh all i want for christmas is you baby all i want all i really want is you  ,0.086,0.837,0.077,0.923
2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas ,5411797,  intro ah aha ooh ohh ohh  chorus last christmas i gave you my heart but the very next day you gave it away this year to save me from tears ill give it to someone special last christmas i gave you my heart but the very next day you gave it away you gave it away this year to save me from tears ill give it to someone special special  verse 1 once bitten and twice shy i keep my distance but you still catch my eye tell me baby do you recognize me well its been a year it doesnt surprise me  verse 2 happy christmas i wrapped it up and sent it with a note saying i love you i meant it now i know what a fool ive been but if you kissed me now i know youd fool me again  chorus last christmas i gave you my heart but the very next day you gave it away you gave it away this year to save me from tears ill give it to someone special special last christmas i gave you my heart but the very next day you gave it away this year to save me from tears ill give it to someone special special oh oh oh baby  verse 3 a crowded room friends with tired eyes im hiding from you and your soul of ice my god i thought you were someone to rely on me i guess i was a shoulder to cry on  verse 4 a face on a lover with a fire in his heart a man under cover but you tore me apart oohhoo now ive found a real love youll never fool me again  chorus last christmas i gave you my heart but the very next day you gave it away you gave it away this year to save me from tears ill give it to someone special special last christmas i gave you my heart i gave you my heart but the very next day you gave it away you gave me away this year to save me from tears ohh ill give it to someone special special  outro a face on a lover with a fire in his heart i gave you my heart a man under cover but you tore him apart maybe next year ill give it to someone ill give it to someone special special someone  ,0.097,0.737,0.166,0.9893
2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree ,4065969,  chorus rockin around the christmas tree at the christmas party hop mistletoe hung where you can see evry couple tries to stop  rockin around the christmas tree let the christmas spirit ring later well have some pumpkin pie and well do some caroling  bridge you will get a sentimental feeling when you hear voices singing lets be jolly  deck the halls with boughs of holly  chorus rockin around the christmas tree have a happy holiday everyones dancing merrily in a new old fashioned way  bridge you will get a sentimental feeling when you hear voices singing lets be jolly  deck the halls with boughs of holly  chorus rockin around the christmas tree have a happy holiday everyones dancing merrily in a new old fashioned way  ,0.015,0.717,0.268,0.9868
0lLdorYw7lVrJydTINhWdI,Michael Bublé,It's Beginning to Look a Lot like Christmas ,3787063,  verse 1 its beginning to look a lot like christmas everywhere you go take a look at the five and ten its glistening once again with candy canes and silver lanes aglow  chorus its beginning to look a lot like christmas toys in every store but the prettiest sight to see is the holly that will be on your own front door  hook a pair of hopalong boots and a pistol that shoots is the wish of barney and ben dolls that will talk and will go for a walk is the hope of janice and jen and mom and dad can hardly wait for school to start again  verse 2 its beginning to look a lot like christmas everywhere you go theres a tree in the grand hotel one in the park as well its the sturdy kind that doesnt mind the snow  chorus 2 its beginning to look a lot like christmas soon the bells will start and the thing that will make them ring is the carol that you sing right within your heart  hook 2 its beginning to look a lot like christmas toys in every store but the prettiest sight to see is the holly that will be on your own front door  outro so its christmas once more  ,0.0,0.85,0.15,0.9849
3VTNVsTTu05dmTsVFrmGpK,The Pogues,Fairytale of New York (feat. Kirsty MacColl) ,3750669,  verse 1 shane macgowan it was christmas eve babe in the drunk tank an old man said to me wont see another one and then he sang a song the rare old mountain dew i turned my face away and dreamed about you  verse 2 shane macgowan got on a lucky one came in eighteentoone ive got a feeling this years for me and you so happy christmas i love you baby i can see a better time when all our dreams come true  verse 3 kirsty maccoll theyve got cars big as bars theyve got rivers of gold but the wind goes right through you its no place for the old when you first took my hand on a cold christmas eve you promised me broadway was waiting for me  verse 4 kirsty maccoll  shane macgowan   together you were handsome you were pretty queen of new york city when the band finished playing they howled out for more sinatra was swinging all the drunks they were singing we kissed on a corner then danced through the night  chorus shane macgowan  kirsty maccoll the boys of the nypd choir were singing galway bay and the bells were ringing out for christmas day  verse 5 kirsty maccoll  shane macgowan youre a bum youre a punk youre an old slut on junk lying there almost dead on a drip in that bed you scumbag you maggot you cheap lousy faggot happy christmas your arse i pray god its our last  chorus shane macgowan  kirsty maccoll the boys of the nypd choir still singing galway bay and the bells are ringing out for christmas day  verse 6 kirsty maccoll  shane macgowan i could have been someone well so could anyone you took my dreams from me when i first found you i kept them with me babe i put them with my own cant make it all alone ive built my dreams around you  outro shane macgowan  kirsty maccoll the boys of the nypd choir still singing galway bay and the bells are ringing out for christmas day  ,0.078,0.782,0.14,0.9635
0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas? - 1984 Version ,3655402,  paul young its christmas time theres no need to be afraid at christmas time we let in light and we banish shade  boy george and in our world of plenty we can spread a smile of joy throw your arms around the world at christmas time  george michael but say a prayer pray for the other ones at christmas time its hard  simon lebon duran duran but when youre having fun theres a world outside your window and its a world of dread and fear  sting where the only water flowing is the bitter sting of tears  bono  sting and the christmas bells that ring there are the clanging chimes of doom  bono well tonight thank god its them instead of you  boy george  others and there wont be snow in africa this christmas time the greatest gift theyll get this year is lifeoooh where nothing ever grows no rain or rivers flow do they know its christmas time at all  marilyn  glenn gregory heres to you  paul young raise a glass for everyone  marilyn  glenn gregory heres to them  paul young marilyn  glenn gregory underneath that burning sun do they know its christmas time at all  chorus all feed the world feed the world feed the world let them know its christmas time again  feed the world let them know its christmas time again  ,0.08,0.808,0.112,0.8337
1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year ,3502518,  chorus its the most wonderful time of the year with the kids jingle belling and everyone telling you be of good cheer its the most wonderful time of the year  verse 1 its the haphappiest season of all with those holiday greetings and gay happy meetings when friends come to call its the haphappiest season of all  prechorus therell be parties for hosting marshmallows for toasting and caroling out in the snow therell be scary ghost stories and tales of the glories of christmases long long ago  chorus its the most wonderful time of the year therell be much mistletoeing and hearts will be glowing when loved ones are near its the most wonderful time of the year  prechorus therell be parties for hosting marshmallows for toasting and caroling out in the snow therell be scary ghost stories and tales of the glories of christmases long long ago  chorus its the most wonderful time of the year therell be much mistletoeing and hearts will be glowing when loved ones are near its the most wonderful time its the most wonderful time its the most wonderful time its the most wonderful time of the year  ,0.043,0.666,0.291,0.9964
0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me ,3224174,  chorus santa tell me if youre really there dont make me fall in love again if he wont be here next year santa tell me if he really cares cause i cant give it all away if he wont be here next year  verse 1 feeling christmas all around and im trying to play it cool but its hard to focus when i see him walking cross the room let it snow is blasting out but i wont get it in the mood im avoiding every mistletoe until i know its  prechorus true love that he thinks of so next christmas im not all alone boy  chorus santa tell me if youre really there dont make me fall in love again if he wont be here next year santa tell me if he really cares cause i cant give it all away if he wont be here next year  verse 2 ive been down this road before fell in love on christmas night but on new years day i woke up and he wasnt by my side now i need someone to hold be my fire in the cold but its hard to tell if this is just a fling or if its  prechorus true love that he thinks of so next christmas im not all alone boy  chorus santa tell me if youre really there dont make me fall in love again if he wont be here next year santa tell me if he really cares cause i cant give it all away if he wont be here next year  bridge oh i wanna have him beside me like ohwoooh on the 25th by that fireplace ohwoooh but i dont want a new broken heart this year ive got to be smart oh baby santa tell me santa tell me if he will be if he will be here santa tell me santa tell me oh woah  chorus santa tell me santa tell me if youre really there cause i really care dont make me fall in love again if he wont be here next year santa tell me tell me if he really cares tell me boy cause i cant give it all away if he wont be here next year  outro santa tell me tell me if youre really there santa baby dont make me fall in love again if he wont be here next year if he wont be if he wont be here santa tell me tell me if he really cares do you care cause i cant give it all away if he wont be here next year  ,0.019,0.827,0.155,0.9965
4rRIovg4TvxLUiUrpGI6lE,Shakin' Stevens,Merry Christmas Everyone ,3222783,,none,none,none,none
1rgnBhdG2JDFTbYkYRZAku,Tones and I,Dance Monkey ,3192405,  verse 1 they say oh my god i see the way you shine take your hands my dear and place them both in mine you know you stopped me dead while i was passing by and now i beg to see you dance just one more time  prechorus ooh i see you see you see you every time and oh my i i like your style you you make me make me make me wanna cry and now i beg to see you dance just one more time  chorus so they say dance for me dance for me dance for me ohohoh ive never seen anybody do the things you do before they say move for me move for me move for me ayyayyayy and when you’re done ill make you do it all again  verse 2 i said oh my god i see you walking by take my hands my dear and look me in my eyes just like a monkey ive been dancin’ my whole life but you just beg to see me dance just one more time  prechorus ooh i see you see you see you every time and oh my i i like your style you you make me make me make me wanna cry and now i beg to see you dance just one more time  chorus so they say dance for me dance for me dance for me ohohoh ive never seen anybody do the things you do before they say move for me move for me move for me ayyayyayy and when youre done ill make you do it all again they say dance for me dance for me dance for me ohohoh ohoh ohoh ive never seen anybody do the things you do before they say move for me move for me move for me ayyayyayy and when youre done ill make you do it all again  bridge ooh ooh ooh ooh ooh do it all again do it all again do it all again ohoh ohoh oh ooh ooh ooh ooh oohooh do it all again do it all again do it all again ooh ahah ahah  chorus they say dance for me dance for me dance for me ohohoh ive never seen anybody do the things you do before they say move for me move for me move for me ayyayyayy and when you’re done i’ll make you do it all again they say dance for me dance for me dance for me ohohoh ohoh ohoh ive never seen anybody do the things you do before they say move for me move for me move for me ayyayyayy and when you’re done ill make you do it all again all again  ,0.027,0.936,0.037,0.3612
