trackId,Artist,title,streams
1xPpYbCaJWonL7IFXPDjON,Aitch,Taste (Make It Shake) ,394114
7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,Ladbroke Grove ,373159
23GvTfcGK454ppLsts3W44,Young T & Bugsey,Strike a Pose (feat. Aitch) ,346883
21jGcNKet2qwijlDFuPiPb,Post Malone,Circles ,336553
1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights ,329611
6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Señorita ,321616
6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,Sorry ,321317
1rgnBhdG2JDFTbYkYRZAku,Tones and I,Dance Monkey ,301983
6EOKwHETwSkZ9gW2b6ASE0,Lil Tecca,Ransom ,291442
6oJ6le65B3SEqPwMRNXWjY,Kygo,Higher Love ,282369
1AI7UPw3fgwAFkvAlZWhE0,Ed Sheeran,Take Me Back to London (feat. Stormzy) ,282181
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved ,278213
70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,Beautiful People (feat. Khalid) ,271003
3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey) ,270080
2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It ,269349
6vBdBCoOhKHiYDDOcorfNo,Post Malone,Goodbyes (Feat. Young Thug) ,245725
6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep? ,245237
0SxjNrhMwarsbcgEy0pavJ,Headie One,Both ,241326
36orMWv2PgvnzXsd5CJ0yL,Sam Feldt,Post Malone (feat. RANI) ,235520
5aubXDnDNVKA5pS7EnR0mp,MIST,So High (feat. Fredo) ,231530
3z4CGd63tpUn9a6oQSG0CI,Dave,Location (feat. Burna Boy) ,217425
5pAbCxt9e3f81lOmjIXwzd,Jorja Smith,Be Honest (feat. Burna Boy) ,215636
5wfyoR8XOkw45QRtFOoxyi,Dave,Professor X ,209682
05mDaV9Vb3wrzjF6OPZnhq,Post Malone,Saint-Tropez ,204076
7CZyCXKG6d5ALeq41sLzbw,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott) ,203009
0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,I Don't Care (with Justin Bieber) ,202519
6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,Outnumbered ,199333
1Iv4wC88uxeAF7SmQQGx3X,Stormzy,Wiley Flow ,195021
0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse ,187035
0Ryd8975WihbObpp5cPW1t,Ariana Grande,boyfriend (with Social House) ,185205
7sWRlDoTDX8geTR8zzr2vt,Post Malone,Hollywood's Bleeding ,178920
44ZJ4hLD5onikKsVLQaILr,Stormzy,Vossi Bop ,177875
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy ,173057
3Yh9lZcWyKrK9GjbhuS0hR,Lizzo,Good as Hell ,169082
0Zp10WiPeEi6EUJZvWcNT9,Mabel,Mad Love ,167040
1000nHvUdawXuUHgBod4Wv,Lil Nas X,Panini ,165434
141GIDaZBy7Bn3I2NAFR31,D-Block Europe,Nookie ,161794
5RgBnDtHKFHgtVdqabjGE3,Jax Jones,Harder (with Bebe Rexha) ,161266
6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,No Guidance (feat. Drake) ,160851
322tcqPhma7F6hfCeLisx0,Lauv,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3” ",160456
