trackId,Artist,title,streams
14msK75pk3pA33pzPVNtBF,Ariana Grande,7 rings ,71467874
3KkXRkHbMCARz0aVfEt68P,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse ,33799389
6MWtB6iiXyIwun0YzU6DFP,Post Malone,Wow. ,31165644
2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next ",27672341
5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me ,27576694
5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,Calma - Remix ,23772814
6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,Dancing With A Stranger (with Normani) ,22238899
25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho ,21711506
4w8niZpiMy6qz1mntFA5uM,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B) ",21435790
116H0KvKr2Zl4RPuVBruDO,Bad Bunny,MIA (feat. Drake) ,19597964
1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes ,18891709
2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier ,18135105
6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva ,17547601
2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE ,17280171
2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,Going Bad (feat. Drake) ,17174274
2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow ,16829254
7wFybC8jBH3zE139OpCtpG,Gesaffelstein,Lost in the Fire ,15898519
5W83ErFkO3aKAIS1WMi6u0,Anuel AA,Secreto ,15649853
0FZ4Dmg8jJJAPJnvBIzD9z,Kodak Black,ZEZE ,15564793
5kfNriitmkNE8mUbZ7gbq8,Khalid,Saturday Nights ,14560398
7FGq80cy8juXBCD2nrqdWU,benny blanco,Eastside (with Halsey & Khalid) ,14028996
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Too Hard (Lil Baby & Gunna) ,13585875
5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee) ,13523043
3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Look Back at It ,13473222
5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,Giant (with Rag'n'Bone Man) ,13432564
1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Mo Bamba ,13264212
27rdGxbavYJeBphck5MZAF,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus) ,12917943
14JzyD6FlBD5z0wV5P07YI,Billie Eilish,when the party's over ,12787942
7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now ,12225139
3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright ,11967642
3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD! ,11909435
2LskIZrCeLxRvCiGP8gxlh,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee) ,11782058
7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,Girls Like You (feat. Cardi B) ,11611300
7tFiyTwD0nx5a1eklYtX2J,Queen,Bohemian Rhapsody - 2011 Mix ,11183058
0s5DNDV6LAKn2u2Ufa3VjQ,Mau y Ricky,Desconocidos ,11064377
285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams ,10923958
6MJUCumnQsQEKbCy28tbCP,Daddy Yankee,Adictiva ,10882484
2cYnZNzFRFK0H7vSNxPsUq,Anuel AA,Ella Quiere Beber - Remix ,10862330
6zeeWid2sgw4lap2jV61PZ,Khalid,Better ,10854712
0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight ,10351258
14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,Leave Me Alone ,10330367
0todbbT9g5uQGbeFCiBf2F,Ariana Grande,imagine ,10326381
2G1tXoGBaEMJ7FKGnkf6ud,Gucci Mane,Wake Up in the Sky ,10323852
0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind ,10316464
7uH27oIt4a6cIFCA8ZPcyG,Ozuna,Baila Baila Baila ,10271742
25F6MWrnFBCXVnpN4n76EK,Logic,Keanu Reeves ,10133154
0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage) ,9956213
1LiN0Z98FkR1t0m8KmLcAH,Anuel AA,Amanece ,9710846
4BiiOzZCrXEzHRLYcYFiD5,The Chainsmokers,Hope ,9657252
5N5k9nd479b1xpDZ4usjrg,Calvin Harris,Promises (with Sam Smith) ,9654926
1NJcg626wLln4pGHpiV7mf,Billie Eilish,lovely ,9474960
3WRIaWsws011vHMd9uzPjG,Future,First Off (feat. Travis Scott) ,9301657
5IaHrVsrferBYDm0bDyABy,Tyga,Taste (feat. Offset) ,9205634
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood ,9187834
260R90ctQ1SiPax90PuEsT,MERO,Hobby Hobby ,9075914
2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,no tears left to cry ,8846430
7wcyO1rrH3Ru4t659IjG41,Future,Crushed Up ,8726504
5tAa8Uaqr4VvA3693mbIhU,Zara Larsson,Ruin My Life ,8718625
2t8yVaLvJ0RenpXUIAC52d,21 Savage,a lot ,8666560
4uP3pUP18ennmz0tb3GphR,Bad Bunny,Solo de Mi ,8587787
58q2HKrzhC3ozto2nDdN4z,Cardi B,I Like It ,8468946
3ao3OVxHlb3C08vAaApUlm,Luis Fonsi,Imposible ,8466082
2RSHsoi04658QL5xgQVov3,Imagine Dragons,Bad Liar ,8460850
3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,Love Someone ,8235689
2GGMabyHXnJmjY6CXhhB2e,Cardi B,Money ,8223260
278kSqsZIiYp8p3QjYAqa8,Bad Bunny,NI BIEN NI MAL ,8172522
7pdF27mSDuPWhppnHAmWHa,XXXTENTACION,whoa (mind in awe) ,8132321
48zFZh27QU5qsrBjn4C2FA,Ozuna,Vaina Loca ,8057457
6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan ,7896269
2FY7b99s15jUprqC0M5NCT,Imagine Dragons,Natural ,7845067
7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores ,7843780
0jAfdqv18goRTUxm3ilRjb,A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga) ,7769520
7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body (feat. brando) ,7719123
7dNwJbsT0sg1le5kVugGJb,Becky G,Bubalu ,7691925
4VUwkH455At9kENOfzTqmF,Bazzi,Beautiful (feat. Camila Cabello) ,7568703
5Fla3zyOCcIRqrDoKLU0DP,Rita Ora,Let You Love Me ,7475195
2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002 ,7447419
2G7V7zsVDxg1yRsu7Ew9RJ,Drake,In My Feelings ,7445971
2D3z17LBMJ2HEHeBFFjTLi,J Balvin,Reggaeton ,7429241
7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You ,7372309
0TlLq3lA83rQOYtrqBqSct,Drake,Nonstop ,7294497
6mQLN3zRtAp6ovjusyYKrV,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie) ,7277513
