trackId,Artist,title,streams,lyrics,neg,neu,pos,compound
1ZPWWSwCkxKfqdp4H0RFCo,Arizona Zervas,ROXANNE ,10919777,  intro all for the gram bitches love the gram oh wait shit brr brr ayy yeah yeah yeah ayy brr brr brr ayy skrrt skrrt ninety four dont need no brakes yeah  chorus roxanne roxanne all she wanna do is party all night god damn roxanne never gonna love me but its alright she think im an asshole she think im a player she keep running back though only cause i pay up roxanne roxanne all she wanna do is party all night  verse 1 met her at a party in the hills yeah she just wanna do it for the thrill yeah shorty drive a poodle with no top top top but if i throw this money she gon drop ayy she dont wait in lines if its too long she dont drive the whip unless the roof off only wanna call when the cash out only take the pic when her ass out  prechorus she from malibu uh malibu if you aint got a foreign then she laugh at you uh malibu uh malibu spending daddys money with a attitude  chorus roxanne roxanne roxanne roxanne all she wanna do is party all night god damn god damn roxanne roxanne never gonna love me but its alright she think im an asshole she think im a player she keep running back though only cause i pay up roxanne roxanne roxanne roxanne all she wanna do is party all night  interlude i just wanna have fun  verse 2 in la yeah got no brakes yeah living fast ricky bobby shake and bake yeah see the chain yeah issa lake yeah swipe the chase ooh now she wanna date yeah straight to nobu on the coast ooh shorty only like cocaine and whole foods yeah snappin all up on the gram ass going crazy woo now she wanna fuck me in the foreign goin 80  prechorus up in malibu uh malibu if you aint got a foreign then she laugh at you uh malibu uh malibu spending daddys money with a attitude  chorus roxanne roxanne roxanne roxanne all she wanna do is party all night all night yeah god damn god damn roxanne roxanne never gonna love me but its alright alright yeah she think im an asshole she think im a player she keep running back though only cause i pay up roxanne roxanne roxanne roxanne all she wanna do is party all night  ,0.082,0.68,0.238,0.9971
21jGcNKet2qwijlDFuPiPb,Post Malone,Circles ,8572624,  intro oh oh oh oh  oh oh oh  oh oh oh oh  verse 1 we couldnt turn around til we were upside down ill be the bad guy now but know i aint too proud i  couldnt be there even when i tried you  dont believe it we do this every time  chorus seasons change and our love went cold feed  the flame cause we cant let go run away but were running in circles run away run away i dare you to do something im  waiting on you again so i dont take the blame run away but were running in circles run away run away run away  verse 2 let go i got a feeling that its time to let go i said so i knew that this was doomed from the getgo you thought that it was special special but it was just the sex though the sex though and i still hear the echoes the echoes i got a feeling that its time to let it go let it go  chorus seasons change and our love went cold feed the flame cause we cant let go run away but were running in circles run away run away i dare you to do something im waiting on you again so i dont take the blame run away but were running in circles run away run away run away  bridge maybe you dont understand what im going through its only me what you got to lose make up your mind tell me what are you gonna do its only me let it go  chorus seasons change and our love went cold feed the flame cause we cant let go run away but were running in circles run away run away i dare you to do something im waiting on you again so i dont take the blame run away but were running in circles run away run away run away  ,0.044,0.851,0.105,0.9686
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM ,8480933,  chorus i got room in my fumes yeah she fill my mind up with ideas im the highest in the room it’s lit hope i make it outta here lets go  verse 1 she saw my eyes she know im gone ah i see some things that you might fear i’m doin a show ill be back soon soon that aint what she wanna hear nah now i got her in my room ah legs wrapped around my beard got the fastest car it zoom skrrt hope we make it outta here ah when im with you i feel alive you say you love me dont you lie yeah wont cross my heart dont wanna die keep the pistol on my side yeah  chorus case it’s fumes smoke she fill my mind up with ideas straight up i’m the highest in the room its lit hope i make it outta here let’s go yeah  verse 2 we aint stressin bout the loot yeah my block made of quesería this not the molly this the boot ain’t no comin back from here live the life of la familia its so much gang that i cant see ya yeah turn it up til they cant hear we cant runnin runnin round for the thrill yeah dawg dawg round my real gang raw raw i been pourin to the real drank nah nah nah they not back of the vip in the vip gorgeous baby keep me hard as steel ah this my life i did not choose uh been on this since we was kids we gon stay on top and break the rules uh i fill my mind up with ideas  chorus case its fumes she fill my mind up with ideas straight up im the highest in the room im the highest its lit hope i make it outta here  outro  ,0.052,0.839,0.109,0.9747
6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit (with YoungBoy Never Broke Again) ,7778890,  intro juice wrld its funny the shit i put on this song ain’t gon sound nothin like the shit we was just doin’ oh yeah i just want bad bitches baddest them bitches is the baddest uh uh when i take the molly im a savage uh i say uh  chorus juice wrld i dont need no molly to be savage uh when im on that molly i feel savage uh uh she the definition of a bad bitch stole her im the definition of a bandit uh ayy i dont need no molly to be savage uh ayy but when im on the molly i feel savage ayy my girl the definition of a bad bitch stole her heart im the definition of a bandit  verse 1 juice wrld put the percs down and picked up the jiggas jiggas jiggas tommy in the fucking tommy hilfiger ’figer ’figer that tommy hit a nigga tommy hilfiger fuck niggas im nice when i’m high off the pills ima fuck with her i dont smoke skunk but tonight im getting stuck nigga pour the codeine up and put some molly in the cup with it i know she a freak uhhuh she gon’ fuck with it she my velcro uhhuh guess im stuck with her i dive in it like a sailor i love to nail her addicted to her paraphernalia i had to tell her i see it like a fortune teller your exnigga did good i could do better bad bitch from the woods i think she a hunter she a killer and an eater she a jeffrey dahmer i can tell when she in her feelings i can read her like a book no tec no beretta fn on me am i understood yeah yeah yeah  chorus juice wrld i dont need no molly to be savage uh when im on that molly i feel savage uh uh she the definition of a bad bitch stole her im the definition of a bandit uh ayy i dont need no molly to be savage uh ayy but when im on the molly i feel savage ayy my girl the definition of a bad bitch stole her heart im the definition of a bandit  verse 2 youngboy never broke again my brother point her out and she a bad bitch im on her must aint heard that im a savage once i get a bitch i own her i see she got swag i got cash so i want her see this fourfive in my pants put on your ass push up on bruh shawty she a rider with that glizzy on her glizzy on her and shawty ima dada with no semi on me semi on me if we got a problem we get rid of homie yeah put twenty thousand in your pocket we gon get the money yeah im the definition of a bandit honest took your heart from out his hands and still aint saying shit on my mama some new killers in my circle you done ran with like this dirty 38 this bitchll damage popping wheelies 4k trey call when you land with it pop pop pop i let you drive and slide with my bros where they be laying with it skrrt i work this bitch i open up a can with it like fuck the stove i make it jump without my hand in it  chorus juice wrld i dont need no molly to be savage uh when im on that molly i feel savage uh uh she the definition of a bad bitch stole her im the definition of a bandit uh ayy i dont need no molly to be savage uh ayy but when im on the molly i feel savage ayy my girl the definition of a bad bitch stole her heart im the definition of a bandit  ,0.247,0.655,0.098,-0.9991
1HfMVBKM75vxSfsQ5VefZ5,Selena Gomez,Lose You To Love Me ,7090786,  verse 1 you promised the world and i fell for it i put you first and you adored it set fires to my forest and you let it burn sang offkey in my chorus cause it wasnt yours i saw the signs and i ignored it rosecolored glasses all distorted set fire to my purpose and i let it burn you got off on the hurtin when it wasnt yours yeah  prechorus wed always go into it blindly i needed to lose you to find me this dancing was killing me softly i needed to hate you to love me yeah  chorus to love love yeah to love love yeah to love yeah i needed to lose you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me  verse 2 i gave my all and they all know it then you tore me down and now its showing in two months you replaced us like it was easy made me think i deserved it in the thick of healing yeah  prechorus wed always go into it blindly i needed to lose you to find me this dancing was killing me softly i needed to hate you to love me yeah  chorus to love love yeah to love love yeah to love yeah i needed to lose you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me  bridge you promised the world and i fell for it i put you first and you adored it set fires to my forest and you let it burn sang offkey in my chorus  chorus to love love yeah to love love yeah to love yeah i needed to hate you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me to love love yeah to love love yeah to love yeah  outro and now the chapter is closed and done to love love yeah to love love yeah to love yeah and now its goodbye its goodbye for us  ,0.184,0.433,0.383,0.9993
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved ,6058702,  verse 1 im going under and this time i fear theres no one to save me this all or nothing really got a way of driving me crazy i need somebody to heal somebody to know somebody to have somebody to hold its easy to say but its never the same i guess i kinda liked the way you numbed all the pain  chorus now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved  verse 2 im going under and this time i fear theres no one to turn to this all or nothing way of loving got me sleeping without you now i need somebody to know somebody to heal somebody to have just to know how it feels its easy to say but its never the same i guess i kinda like the way you help me escape  chorus now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved  bridge and i tend to close my eyes when it hurts sometimes i fall into your arms ill be safe in your sound till i come back around  chorus for now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved but now the day bleeds into nightfall and youre not here to get me through it all i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved i let my guard down and then you pulled the rug i was getting kinda used to being someone you loved  ,0.076,0.787,0.138,0.9788
4sjiIpEv617LDXaidKioOI,YNW Melly,223's (feat. 9lokknine) ,5924869,  intro yung lan on the track how  you do that cujo figurez  made it yeah  chorus trappin cappin super dabbin bandin out on gucci jackets quaterpounder  gun to pack i stretched that shit like its elastic boy  you fake i know you plastic molly got her flabbergasted pull up with them 223 russian aks and automatics  postchorus pussy  super soakin splashin water on her gucci shirt oh my god  smith  wesson packin dick inside the dirt oh my lord givenchy flavored drippin on her fear of god mini skirt yeah 30 clip with forty glocks and semiautomatic bursts  verse fuck  all of that talkin shit you know lil melly shootin first catch a nigga slippin and we bussin at his ass on  on  223s and mac11s knock that boy right off the earth the earth yeah that lil boy a bitch get the percs yeah that lil boy a bitch get the percs get the percs get a ho some molly rockin watch them bitches smooch each other smooch each other great young nigga broke his pockets shorter than some coochie cutters coochie cutter mainly posin pistol totin keep a pocket full of trojans full of trojans pussy soakin buss it open wetter than pacific ocean pacific ocean hit him wit that fn now that boy body decomposin mushroom pop that pussy for my clique and you might get some self promotion mhm drako for all the commotion up this bitch wit no emotion shorty got me overdosin ride that dick a rollercoaster oh rollercoaster that shit lil bitch lil bitch pull up on him wit a stick a stick melly baby hittin licks them licks run in yo house wit the shits the shits yeah i ride wit them young jits them jits you niggas be handin out bricks bricks you niggas shippin them pounds them pounds you niggas got glocks wit fifty rounds rounds you got niggas pull up dont make a sound lil bitch get it repeat believe he wanna  bitch i want patek philippe yeah i might just fuck on a freak freak i wanna get back to me and i might get a jetski yeah bitches so wet need a jetski ski yeah that my bitch bestie yes hit that lil bitch with the sk my bitch hit that lil bitch with the sk the glock smoke his ass just like a ashtray pssh ooh damn ho damn ho i swear to god im bout my fam though my fam though feel like  finna  a nigga melly baby tryna rap a nigga huh ima scammer ima robber and a motherfuckin trapper nigga no i am not no trapper nigga and i think they just untapped a nigga huh the feds in a young niggas phone phone these bitches wont leave me alone lone i think that she gone off patrone she gone off patrone patrone what the fuck goin on on let me get back inside my zone my zone and tell that bitch stop callin my phone yeah my cellular she eat the dick up like a pizone when she eat it up oohoh go and suck it slow i dont want that bitch no mo givenchy drippin all over her sneakers huh got molly and we whip it out the beaker out the beaker thats melly jammin through yo fuckin speakers yeah it is my bitch gon set it out no queen latifah yeah im smokin now im smokin on that reefer that loud you got it good but i get the pound for cheaper okay we bust it down we break the shit and then crumble it brumble it these niggas fallin yeah they crumblin  chorus they trappin cappin super dabbin bandin out on gucci jackets quaterpounder gun to pack i stretched that shit like its elastic boy you fake i know you plastic molly got her flabbergasted pull up with them 223 russian aks and automatics  ,0.162,0.773,0.066,-0.9955
7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer ,5809764,  intro fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum  verse 1 this that hot girl bummer anthem turn it up and throw a tantrum this that throw up in your birkin bag hook up with someone random this that social awkward suicide that buy your lips and buy your likes i swear she had a man but shit hit different when its thursday night  prechorus that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid this that 10k on the table just so we can be secluded and the vodka came diluted one more line im superhuman  chorus fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum fuck you and you and you i hate your friends and they hate me too fuck you and you and you this that hot girl bummer anthem turn it up and throw a tantrum  verse 2 this that hot girl bummer twostep they cant box me in im too left this that drip its more like oceans they cant fit me in a trojan out of pocket but im always in my bag yeah thats the slogan this that whos all there im pullin up wit a emo chick thats broken  prechorus this that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid this that 10k on the table just so we can be secluded and the vodka came diluted one more line im superhuman  chorus fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum fuck you and you and you i hate your friends and they hate me too fuck you and you and you this that hot girl bummer anthem turn it up and throw a tantrum  bridge this that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid this that college dropout music every day leg day she be too thick and my friends are all annoying but we go dumb yeah we go stupid we go stupid we go stupid we go— and you want me to change fuck you  chorus fuck you and you and you i hate your friends and they hate me too im through im through im through this that hot girl bummer anthem turn it up and throw a tantrum fuck you and you and you i hate your friends and they hate me too fuck you and you and you this that hot girl bummer anthem turn it up and throw a tantrum  ,0.303,0.616,0.08,-0.9994
7iHHxY2NLlJRAmlAmC4ahQ,Lil Mosey,Stuck In A Dream (feat. Gunna) ,5689981,  intro lil mosey ohoh ayy royce you did it right here  chorus lil mosey still poppin xans 2019 pour up the lean got me stuck in a dream lean started hittin licks back in 2014 14 i got the ice on me drippin celine celine flawless came in off a hun hun me and my niggas still drippin for fun yeah we drippin been knew i was the one one still got niggas on the run yeah on the run yeah  verse 1 lil mosey i got these diamonds my chain swang i got these bands aint shit changed talkin like you want that smoke smoke we want the same thing brra i got a brand new check check then i put ten on my neck mmm then i got a new patek yeah fly in that bitch with a tec six on a new fit fifty for a droptop drop i was off a bean the tech made me wock talk talk never been a lame aint shit to make her top drop smokin on gas wood how i lift off last year was broke this year flooded a patek i keep forty racks in my seattle attic i hit her two times then you niggas can have it ohoh my young niggas pull up and shoot like the magic prrt  chorus lil mosey still poppin xans 2019 pour up the lean got me stuck in a dream lean started hittin licks back in 2014 14 i got the ice on me drippin celine celine flawless came in off a hun hun me and my niggas still drippin for fun yeah we drippin been knew i was the one one still got niggas on the run yeah on the run yeah  verse 2 gunna  lil mosey i made it out of the hood hood i still got some dawgs on the run yeah this shit comin in by the ton ton i started this rap shit for fun yeah last weekend i was in milan milan you niggas aint did what i done yeah we fuck in the rise of the sun sun my girl got a bag full of buns yeah hit it i speed up the porsche skrrt 911 its a sport sport they pay to listen to my voice voice rich or poor gotta make you a choice choice i can play with your ho make her moist yeah told her call me she dont need a toy call im a saucy young nigga no soy soy ohoh and they know not to play with the boy yeah  chorus lil mosey still poppin xans 2019 pour up the lean got me stuck in a dream lean started hittin licks back in 2014 14 i got the ice on me drippin celine celine flawless came in off a hun hun me and my niggas still drippin for fun yeah we drippin been knew i was the one one still got niggas on the run yeah on the run yeah  outro lil mosey ayy royce you did it right here  ,0.089,0.76,0.151,0.9839
2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories ,5660271,  chorus heres to the ones that we got cheers to the wish you were here but youre not cause the drinks bring back all the memories of everything weve been through toast to the ones here today toast to the ones that we lost on the way cause the drinks bring back all the memories and the memories bring back memories bring back you  verse 1 theres a time that i remember when i did not know no pain when i believed in forever and everything would stay the same now my heart feel like december when somebody say your name cause i cant reach out to call you but i know i will one day yeah  prechorus everybody hurts sometimes everybody hurts someday ayyayy but everything gon be alright go and raise a glass and say ayy  chorus heres to the ones that we got cheers to the wish you were here but youre not cause the drinks bring back all the memories of everything weve been through toast to the ones here today toast to the ones that we lost on the way cause the drinks bring back all the memories and the memories bring back memories bring back you  postchorus doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo memories bring back memories bring back you  verse 2 theres a time that i remember when i never felt so lost when i felt all of the hatred was too powerful to stop ooh yeah now my heart feel like an ember and its lighting up the dark ill carry these torches for ya that you know ill never drop yeah  prechorus everybody hurts sometimes everybody hurts someday ayyayy but everything gon be alright go and raise a glass and say ayy  chorus heres to the ones that we got ohoh cheers to the wish you were here but youre not cause the drinks bring back all the memories of everything weve been through no no toast to the ones here today ayy toast to the ones that we lost on the way cause the drinks bring back all the memories ayy and the memories bring back memories bring back you  postchorus doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo memories bring back memories bring back you doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo ooh yeah memories bring back memories bring back you  outro yeah yeah yeah yeah yeah yeah yeah yeah no no memories bring back memories bring back you  ,0.081,0.759,0.16,0.9851
